,Corriente inicial (A),Corriente final (A),Valor del registro (decimal)
0,4.377687406100193e-06,3.577687406100193e-06,15
1,1.537456976449605e-06,2.237456976449605e-06,7
2,4.824137087556998e-06,4.024137087556998e-06,15
3,1.9518585083675654e-06,2.4518585083675653e-06,5
4,1.944192358949738e-06,2.544192358949738e-06,6
5,3.491606779558808e-06,2.691606779558808e-06,15
6,4.173360335046652e-06,3.3733603350466524e-06,15
7,2.2953310593326497e-06,2.49533105933265e-06,2
8,1.9068234375241953e-06,2.5068234375241953e-06,6
9,2.8520294312600862e-06,2.4520294312600863e-06,11
10,3.2856103787596544e-06,2.4856103787596544e-06,15
11,2.8095182140392745e-06,2.5095182140392745e-06,10
12,2.8982827147541927e-06,2.4982827147541927e-06,11
13,2.0360339668618944e-06,2.5360339668618943e-06,5
14,1.4273141508066229e-06,2.127314150806623e-06,7
15,4.860968566208492e-06,4.060968566208492e-06,15
16,2.446091099656301e-06,2.5460910996563007e-06,1
17,3.0879356388499734e-06,2.4879356388499732e-06,13
18,1.7250594533328854e-06,2.4250594533328853e-06,7
19,3.7085033072010818e-06,2.908503307201082e-06,15
20,4.622558704698084e-06,3.822558704698084e-06,15
21,1.659797919332792e-06,2.359797919332792e-06,7
22,4.832837519269091e-06,4.032837519269091e-06,15
23,4.699461006503781e-06,3.899461006503781e-06,15
24,3.849371951307675e-06,3.049371951307675e-06,15
25,2.507849209561544e-06,2.507849209561544e-06,0
26,3.989165064893135e-06,3.1891650648931346e-06,15
27,3.593988879915533e-06,2.793988879915533e-06,15
28,1.451828680704652e-06,2.151828680704652e-06,7
29,3.1924762152467968e-06,2.4924762152467967e-06,14
30,3.156326258423243e-06,2.4563262584232427e-06,14
31,1.0491129895919018e-06,1.7491129895919019e-06,7
32,1.3096871354132165e-06,2.0096871354132166e-06,7
33,3.281313692547493e-06,2.481313692547493e-06,15
34,3.11574153176165e-06,2.51574153176165e-06,13
35,3.194778422575289e-06,2.4947784225752888e-06,14
36,2.314802082132392e-06,2.514802082132392e-06,2
37,3.728018242351912e-06,2.928018242351912e-06,15
38,3.5578947788812816e-06,2.7578947788812817e-06,15
39,1.8394049781460693e-06,2.5394049781460694e-06,7
40,2.8344268375482456e-06,2.5344268375482455e-06,10
41,2.524082759983086e-06,2.524082759983086e-06,0
42,3.5577071938315356e-06,2.7577071938315357e-06,15
43,1.15420735734952e-06,1.85420735734952e-06,7
44,2.634143517017975e-06,2.534143517017975e-06,8
45,2.0875016575363636e-06,2.4875016575363636e-06,4
46,4.553072305809953e-06,3.7530723058099527e-06,15
47,2.4073850233115307e-06,2.5073850233115306e-06,1
48,3.192631313665319e-06,2.492631313665319e-06,14
49,1.2675359053710066e-06,1.9675359053710067e-06,7
50,2.9901462750344097e-06,2.49014627503441e-06,12
51,1.974071050837348e-06,2.474071050837348e-06,5
52,4.913419433483987e-06,4.113419433483987e-06,15
53,3.468565906679809e-06,2.668565906679809e-06,15
54,4.654571890219565e-06,3.854571890219565e-06,15
55,1.3613594170773981e-06,2.061359417077398e-06,7
56,4.863676752099776e-06,4.063676752099776e-06,15
57,1.1702628543303075e-06,1.8702628543303075e-06,7
58,3.323028659735827e-06,2.523028659735827e-06,15
59,1.8967418993893057e-06,2.4967418993893055e-06,6
60,2.2312270189351094e-06,2.5312270189351095e-06,3
61,2.9779497439177386e-06,2.4779497439177388e-06,12
62,4.711966263510697e-06,3.9119662635106974e-06,15
63,2.7805569006272915e-06,2.4805569006272914e-06,10
64,2.904633048917383e-06,2.504633048917383e-06,11
65,2.658975997234716e-06,2.458975997234716e-06,9
66,1.2832357082362904e-06,1.9832357082362903e-06,7
67,1.2991750274924429e-06,1.999175027492443e-06,7
68,3.966675742458293e-06,3.166675742458293e-06,15
