Corriente inicial (A),Corriente final (A),Valor del registro 1,Valor del registro 2
4.377687406100193e-06,2.7776874061001946e-06,15,15
1.537456976449605e-06,2.537456976449604e-06,7,3
4.824137087556998e-06,3.224137087557e-06,15,15
1.9518585083675654e-06,2.451858508367565e-06,5,-1
1.944192358949738e-06,2.5441923589497375e-06,6,-1
3.491606779558808e-06,2.491606779558809e-06,15,9
4.173360335046652e-06,2.573360335046654e-06,15,15
2.2953310593326497e-06,2.4953310593326495e-06,2,-1
1.9068234375241953e-06,2.506823437524195e-06,6,-1
2.8520294312600862e-06,2.4520294312600867e-06,11,-1
3.2856103787596544e-06,2.4856103787596553e-06,15,7
2.8095182140392745e-06,2.509518214039275e-06,10,-1
2.8982827147541927e-06,2.498282714754193e-06,11,-1
2.0360339668618944e-06,2.536033966861894e-06,5,-1
1.4273141508066229e-06,2.5273141508066217e-06,7,4
4.860968566208492e-06,3.260968566208494e-06,15,15
2.446091099656301e-06,2.5460910996563007e-06,1,-1
3.0879356388499734e-06,2.487935638849974e-06,13,-1
1.7250594533328854e-06,2.5250594533328848e-06,7,1
3.7085033072010818e-06,2.508503307201083e-06,15,11
4.622558704698084e-06,3.0225587046980854e-06,15,15
1.659797919332792e-06,2.459797919332791e-06,7,1
4.832837519269091e-06,3.232837519269093e-06,15,15
4.699461006503781e-06,3.099461006503783e-06,15,15
3.849371951307675e-06,2.5493719513076764e-06,15,12
2.507849209561544e-06,2.507849209561544e-06,0,0
3.989165064893135e-06,2.4891650648931362e-06,15,14
3.593988879915533e-06,2.4939888799155344e-06,15,10
1.451828680704652e-06,2.451828680704651e-06,7,3
3.1924762152467968e-06,2.4924762152467975e-06,14,-1
3.156326258423243e-06,2.4563262584232436e-06,14,-1
1.0491129895919018e-06,2.4491129895919003e-06,7,7
1.3096871354132165e-06,2.509687135413215e-06,7,5
3.281313692547493e-06,2.4813136925474937e-06,15,7
3.11574153176165e-06,2.5157415317616506e-06,13,-1
3.194778422575289e-06,2.4947784225752896e-06,14,-1
2.314802082132392e-06,2.514802082132392e-06,2,-1
3.728018242351912e-06,2.5280182423519135e-06,15,11
3.5578947788812816e-06,2.457894778881283e-06,15,10
1.8394049781460693e-06,2.5394049781460685e-06,7,0
2.8344268375482456e-06,2.534426837548246e-06,10,-1
2.524082759983086e-06,2.524082759983086e-06,0,0
3.5577071938315356e-06,2.457707193831537e-06,15,10
1.15420735734952e-06,2.454207357349519e-06,7,6
2.634143517017975e-06,2.534143517017975e-06,8,-1
2.0875016575363636e-06,2.487501657536363e-06,4,-1
4.553072305809953e-06,2.9530723058099545e-06,15,15
2.4073850233115307e-06,2.5073850233115306e-06,1,-1
3.192631313665319e-06,2.49263131366532e-06,14,-1
1.2675359053710066e-06,2.4675359053710053e-06,7,5
2.9901462750344097e-06,2.4901462750344102e-06,12,-1
1.974071050837348e-06,2.4740710508373475e-06,5,-1
4.913419433483987e-06,3.3134194334839887e-06,15,15
3.468565906679809e-06,2.46856590667981e-06,15,9
4.654571890219565e-06,3.054571890219567e-06,15,15
1.3613594170773981e-06,2.461359417077397e-06,7,4
